input,prediction,score
नेपाल एक [MASK] देश हो।,नेपाल एक विकसित देश हो ।,0.5704282522201538
नेपाल एक [MASK] देश हो।,नेपाल एक पहाडी देश हो ।,0.16491089761257172
नेपाल एक [MASK] देश हो।,नेपाल एक हिमाली देश हो ।,0.04237718880176544
नेपाल एक [MASK] देश हो।,नेपाल एक सानो देश हो ।,0.03010396659374237
नेपाल एक [MASK] देश हो।,नेपाल एक स्वतन्त्र देश हो ।,0.01931595243513584
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटकहरूको लागि उपयुक्त छ ।,0.14219148457050323
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटकहरूको लागि लोकप्रिय छ ।,0.10768979787826538
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटकहरूको लागि राम्रो छ ।,0.08555717021226883
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटकहरूको लागि आकर्षक छ ।,0.07321233302354813
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटकहरूको लागि महत्वपूर्ण छ ।,0.062080010771751404
उनले [MASK] खाए।,उनले कसम खाए ।,0.12056946754455566
उनले [MASK] खाए।,उनले धेरै खाए ।,0.0832325667142868
उनले [MASK] खाए।,उनले पानी खाए ।,0.06145976111292839
उनले [MASK] खाए।,उनले दूध खाए ।,0.047727070748806
उनले [MASK] खाए।,उनले जागिर खाए ।,0.040117159485816956
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न मन छ ।,0.8568997383117676
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न आउँदै छ ।,0.04087872430682182
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न पनि छ ।,0.010741853155195713
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न रु छ ।,0.00831861887127161
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न आउ छ ।,0.006388661917299032
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालयका विद्यार्थीहरू मजदुरी गर्दैछन् ।,0.29933783411979675
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालयका विद्यार्थीहरू रमाइलो गर्दैछन् ।,0.06894776970148087
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालयका विद्यार्थीहरू मनोरञ्जन गर्दैछन् ।,0.04986166954040527
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालयका विद्यार्थीहरू अध्ययन गर्दैछन् ।,0.04900967702269554
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालयका विद्यार्थीहरू अभिनय गर्दैछन् ।,0.02534899115562439
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुदले हाम्रो शरीरलाई बलियो बनाउँछ ।,0.7284588813781738
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुदले हाम्रो शरीरलाई शक्तिशाली बनाउँछ ।,0.07120616734027863
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुदले हाम्रो शरीरलाई मजबूत बनाउँछ ।,0.052779048681259155
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुदले हाम्रो शरीरलाई स्वस्थ बनाउँछ ।,0.03279070183634758
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुदले हाम्रो शरीरलाई मजबुत बनाउँछ ।,0.013605081476271152
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्डामा पाँचवटा रङ छ ।,0.19423897564411163
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्डामा दुईवटा रङ छ ।,0.1457807570695877
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्डामा नौ रङ छ ।,0.1168103814125061
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्डामा तीन रङ छ ।,0.08222085982561111
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्डामा पाँच रङ छ ।,0.06469795852899551
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीतलाई असाध्यै मन पराउँछु ।,0.754184365272522
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीतलाई निकै मन पराउँछु ।,0.06364811211824417
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीतलाई धेरै मन पराउँछु ।,0.046689484268426895
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीतलाई पनि मन पराउँछु ।,0.019783491268754005
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीतलाई एकदमै मन पराउँछु ।,0.012318738736212254
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न धेरै समय लाग्छ ।,0.4020025432109833
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न निकै समय लाग्छ ।,0.37531986832618713
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न लामो समय लाग्छ ।,0.04157049581408501
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न केही समय लाग्छ ।,0.030135182663798332
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न बढी समय लाग्छ ।,0.015884215012192726
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा चारैतिर हरियाली छ ।,0.21926981210708618
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा प्रशस्त हरियाली छ ।,0.10572761297225952
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा राम्रो हरियाली छ ।,0.04874900355935097
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा ठूलो हरियाली छ ।,0.04784497246146202
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा एकदम हरियाली छ ।,0.03947099298238754
