input,prediction,score
नेपाल एक [MASK] देश हो।,नेपाल एक स्वतन्त्र देश हो ।,0.07586588710546494
नेपाल एक [MASK] देश हो।,नेपाल एक सानो देश हो ।,0.06695926189422607
नेपाल एक [MASK] देश हो।,नेपाल एक सुन्दर देश हो ।,0.06440146267414093
नेपाल एक [MASK] देश हो।,नेपाल एक विकसित देश हो ।,0.05719922110438347
नेपाल एक [MASK] देश हो।,नेपाल एक समृद्ध देश हो ।,0.04784870147705078
पोखरा [MASK] पर्यटकहरूको लागि आकर्षक छ।,पोखरा यो पर्यटक ##हरूको लागि आकर्षक छ ।,0.3722652196884155
पोखरा [MASK] पर्यटकहरूको लागि आकर्षक छ।,पोखरा होटल पर्यटक ##हरूको लागि आकर्षक छ ।,0.04269089922308922
पोखरा [MASK] पर्यटकहरूको लागि आकर्षक छ।,पोखरा पार्क पर्यटक ##हरूको लागि आकर्षक छ ।,0.03459608927369118
पोखरा [MASK] पर्यटकहरूको लागि आकर्षक छ।,पोखरा संग्रहालय पर्यटक ##हरूको लागि आकर्षक छ ।,0.015789804980158806
पोखरा [MASK] पर्यटकहरूको लागि आकर्षक छ।,पोखरा क्षेत्र पर्यटक ##हरूको लागि आकर्षक छ ।,0.012293688952922821
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई स्वस्थ बनाउँछ ।,0.28466862440109253
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई बलियो बनाउँछ ।,0.16879026591777802
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई न्यानो बनाउँछ ।,0.04115120694041252
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई मजबुत बनाउँछ ।,0.038497429341077805
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई स्वस्थ्य बनाउँछ ।,0.03669952228665352
